"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study1","G4","T3","TurnTaking","1",20.951792,87.1488164818689,64.8649,4.470122,1.5212774,0.857879973295758,-1.78562030256927,0.152810105084263,0.298476421541626
"Study1","G4","T3","TurnTaking","2",20.953458,87.1488164818689,65.067686,4.4607693,1.6635744,0.854085532408242,-1.38853013161814,0.152810105084263,0.360158888900517
"Study1","G4","T3","TurnTaking","3",20.955125,87.1488164818689,65.3595,4.4298218,1.7457735,0.841529964565115,-1.15914753977833,0.152810105084263,0.448921463880378
"Study1","G4","T3","TurnTaking","4",20.956793,87.1488164818689,65.3595,4.3875458,1.7547416,0.824378363106644,-1.1341214017564,0.152810105084263,0.448921463880378
"Study1","G4","T3","TurnTaking","5",20.95846,87.1488164818689,65.3595,4.329373,1.6892271,0.800777344057459,-1.3169443987611,0.152810105084263,0.448921463880378
"Study1","G4","T3","TurnTaking","6",20.960125,87.1488164818689,65.3595,4.2413909,1.5792875,0.765082531050568,-1.62373888183734,0.152810105084263,0.448921463880378
"Study1","G4","T3","TurnTaking","7",20.961792,87.1488164818689,65.3595,4.1195344,1.4648895,0.7156446910675,-1.94297485572623,0.152810105084263,0.448921463880378
"Study1","G4","T3","TurnTaking","8",20.963459,87.1488164818689,65.3595,3.9842219,1.87328013955544,0.660747679232195,-0.803330949839859,0.152810105084263,0.448921463880378
"Study1","G4","T3","TurnTaking","9",20.965124,87.1488164818689,65.3595,3.86196,2.15648545961181,0.611145366280273,-0.0130258207404769,0.152810105084263,0.448921463880378
"Study1","G4","T3","TurnTaking","10",20.966791,79.2734277575663,65.3595,3.7425752,2.15648545961181,0.562710308332518,-0.0130258207404769,-1.13417243087578,0.448921463880378
"Study1","G4","T3","TurnTaking","11",20.968458,73.8007,65.296452,3.5808348,2.15648545961181,0.497091354776513,-0.0130258207404769,-2.0285162270514,0.429743827347072
"Study1","G4","T3","TurnTaking","12",20.970124,73.8007,64.3087,3.3714076,2.15648545961181,0.412125608987803,-0.0130258207404769,-2.0285162270514,0.129294188325258
"Study1","G4","T3","TurnTaking","13",20.971792,73.8007,64.3087,3.1882539,2.15648545961181,0.337819164006149,-0.0130258207404769,-2.0285162270514,0.129294188325258
"Study1","G4","T3","TurnTaking","14",20.973459,73.8007,64.3087,3.0744114,2.15648545961181,0.291632647092629,-0.0130258207404769,-2.0285162270514,0.129294188325258
"Study1","G4","T3","TurnTaking","15",20.975125,73.8007,64.3087,3.0098476,2.15648545961181,0.265438764836871,-0.0130258207404769,-2.0285162270514,0.129294188325258
"Study1","G4","T3","TurnTaking","16",20.976793,73.8007,64.3087,2.960434,2.15648545961181,0.245391400520751,-0.0130258207404769,-2.0285162270514,0.129294188325258
"Study1","G4","T3","TurnTaking","17",20.978459,73.8007,64.3087,2.9385535,2.15648545961181,0.236514363532576,-0.0130258207404769,-2.0285162270514,0.129294188325258
"Study1","G4","T3","TurnTaking","18",20.980124,73.8007,64.3087,2.9261536,2.15648545961181,0.231483657152481,-0.0130258207404769,-2.0285162270514,0.129294188325258
"Study1","G4","T3","TurnTaking","19",20.981792,73.8007,64.3087,2.8816585,2.15648545961181,0.213431754842546,-0.0130258207404769,-2.0285162270514,0.129294188325258
"Study1","G4","T3","TurnTaking","20",20.983458,75.759559,64.3087,2.7976925,2.15648545961181,0.179366295289561,-0.0130258207404769,-1.70840284450451,0.129294188325258
"Study1","G4","T3","TurnTaking","21",20.985123,77.1208,63.987837,2.7238131,2.15648545961181,0.149393023816599,-0.0130258207404769,-1.48595117188718,0.0316956286407861
"Study1","G4","T3","TurnTaking","22",20.986791,77.1208,63.8298,2.6514649,2.15648545961181,0.12004096845096,-0.0130258207404769,-1.48595117188718,-0.0163753037411179
"Study1","G4","T3","TurnTaking","23",20.988458,77.1208,63.8298,2.5098847,2.15648545961181,0.0626011168848081,-0.0130258207404769,-1.48595117188718,-0.0163753037411179
"Study1","G4","T3","TurnTaking","24",20.990125,77.1208,63.8298,2.3485992,2.15648545961181,-0.002833281285081,-0.0130258207404769,-1.48595117188718,-0.0163753037411179
"Study1","G4","T3","TurnTaking","25",20.991792,77.1208,63.8298,2.2268985,2.10207377743898,-0.0522079123669467,-0.164865593720558,-1.48595117188718,-0.0163753037411179
"Study1","G4","T3","TurnTaking","26",20.993459,77.1208,63.8298,2.1780237,1.494522,-0.0720366826139538,-1.86028320031038,-1.48595117188718,-0.0163753037411179
"Study1","G4","T3","TurnTaking","27",20.995126,77.1208,63.8298,2.1921138,1.6867766,-0.0663202529680555,-1.32378269797975,-1.48595117188718,-0.0163753037411179
"Study1","G4","T3","TurnTaking","28",20.996792,77.1208,63.8298,2.2580076,1.8151796,-0.0395867825313018,-0.96546474875637,-1.48595117188718,-0.0163753037411179
"Study1","G4","T3","TurnTaking","29",20.998458,77.1208,63.8298,2.3753079,1.878412,0.00800258251172722,-0.789010118471468,-1.48595117188718,-0.0163753037411179
"Study1","G4","T3","TurnTaking","30",21.000124,78.983489,63.727447,2.5240601,1.8963719,0.068352153201262,-0.738891705846709,-1.18155372601544,-0.0475085455900839
"Study1","G4","T3","TurnTaking","31",21.001792,80.2779,63.2911,2.6814638,1.8970916,0.132211684152363,-0.736883330434484,-0.970023297528292,-0.180234471367253
"Study1","G4","T3","TurnTaking","32",21.003458,80.2779,63.2911,2.8360167,1.893918,0.194914630151297,-0.74573949301367,-0.970023297528292,-0.180234471367253
"Study1","G4","T3","TurnTaking","33",21.005123,80.2779,63.2911,2.9717621,1.8922037,0.249987271853935,-0.750523372365037,-0.970023297528292,-0.180234471367253
"Study1","G4","T3","TurnTaking","34",21.006792,80.2779,63.2911,3.0642268,1.8861111,0.287500699883481,-0.767525217629076,-0.970023297528292,-0.180234471367253
"Study1","G4","T3","TurnTaking","35",21.00846,80.2779,63.2911,3.0794711,1.8705538,0.293685394701188,-0.810938999483494,-0.970023297528292,-0.180234471367253
"Study1","G4","T3","TurnTaking","36",21.010125,80.2779,63.2911,2.9892547,1.8507747,0.257084114120764,-0.866134022570837,-0.970023297528292,-0.180234471367253
