"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study1","G3","T3","Synchronous",1,17.881059,113.695,90.1940290505301,4.395148,3.1687321,0.602371882232028,0.874519975446036,1.11504797129033,-0.972855652014353
"Study1","G3","T3","Synchronous",2,17.882724,111.8434,90.1940290505301,4.5586667,2.7336488,0.914864093456207,-1.55370727694234,0.23344553127465,0.426942290686174
"Study1","G3","T3","Synchronous",3,17.884392,101.351,90.1940290505301,4.6751373,1.9317873,1.16848657357646,-0.643574350566234,1.87730616111075,-0.68715156177532
"Study1","G3","T3","Synchronous",4,17.886057,101.351,90.1940290505301,4.7431434,0.0153013741,-1.49187740562186,0.994133413789129,0.292755051649095,0.540649984113058
"Study1","G3","T3","Synchronous",5,17.887724,101.351,90.1940290505301,4.7671208,-3.099103,-1.52350926596386,-0.333776013846802,1.03842801673961,0.333754103817385
"Study1","G3","T3","Synchronous",6,17.889392,101.351,90.1940290505301,4.7564058,-6.0961699,-0.741228589191792,0.97996159749101,0.401031975075914,-1.51026482067035
"Study1","G3","T3","Synchronous",7,17.891059,101.351,90.1940290505301,4.7321952,-7.8744323,0.939846372694845,0.0131436705274737,0.87210280675811,1.03769936823893
"Study1","G3","T3","Synchronous",8,17.892725,101.351,90.1940290505301,4.7479064,-8.1493346,-1.97645299918943,-0.0163172209214964,0.501930680657107,-1.99896695160341
"Study1","G3","T3","Synchronous",9,17.894393,101.351,90.1940290505301,4.8218996,-7.6342406,0.632847456383288,0.306411251864391,0.361933726663201,-1.48072715557494
"Study1","G3","T3","Synchronous",10,17.89606,101.351,90.1940290505301,4.9352998,-6.8414125,-0.159695217808528,0.156778365290197,-1.26431692596443,-0.768153822700653
"Study1","G3","T3","Synchronous",11,17.897725,101.351,90.1940290505301,5.0341369,-6.1144503,-0.903588485748245,0.671566955017835,-0.539738096509484,0.715161803590774
